ID_Viagem,Tipo_Dia,Sentido,Ordem,Estacao,Hora
1,Dias Úteis,1,4,Lousã Estação,05:38
2,Dias Úteis,1,4,Lousã Estação,06:08
3,Dias Úteis,1,4,Lousã Estação,06:28
5,Dias Úteis,1,4,Lousã Estação,06:58
6,Dias Úteis,1,4,Lousã Estação,07:08
8,Dias Úteis,1,4,Lousã Estação,07:28
9,Dias Úteis,1,4,Lousã Estação,07:38
11,Dias Úteis,1,4,Lousã Estação,07:58
12,Dias Úteis,1,4,Lousã Estação,08:08
14,Dias Úteis,1,4,Lousã Estação,08:28
15,Dias Úteis,1,4,Lousã Estação,08:38
17,Dias Úteis,1,4,Lousã Estação,08:58
18,Dias Úteis,1,4,Lousã Estação,09:08
20,Dias Úteis,1,4,Lousã Estação,09:28
21,Dias Úteis,1,4,Lousã Estação,09:38
22,Dias Úteis,1,4,Lousã Estação,10:08
23,Dias Úteis,1,4,Lousã Estação,10:38
24,Dias Úteis,1,4,Lousã Estação,11:08
25,Dias Úteis,1,4,Lousã Estação,11:38
26,Dias Úteis,1,4,Lousã Estação,12:08
27,Dias Úteis,1,4,Lousã Estação,12:38
28,Dias Úteis,1,4,Lousã Estação,13:08
29,Dias Úteis,1,4,Lousã Estação,13:38
30,Dias Úteis,1,4,Lousã Estação,14:08
31,Dias Úteis,1,4,Lousã Estação,14:38
32,Dias Úteis,1,4,Lousã Estação,15:08
33,Dias Úteis,1,4,Lousã Estação,15:38
35,Dias Úteis,1,4,Lousã Estação,15:58
36,Dias Úteis,1,4,Lousã Estação,16:08
38,Dias Úteis,1,4,Lousã Estação,16:28
39,Dias Úteis,1,4,Lousã Estação,16:38
41,Dias Úteis,1,4,Lousã Estação,16:58
42,Dias Úteis,1,4,Lousã Estação,17:08
44,Dias Úteis,1,4,Lousã Estação,17:28
45,Dias Úteis,1,4,Lousã Estação,17:38
47,Dias Úteis,1,4,Lousã Estação,17:58
48,Dias Úteis,1,4,Lousã Estação,18:08
50,Dias Úteis,1,4,Lousã Estação,18:28
51,Dias Úteis,1,4,Lousã Estação,18:38
52,Dias Úteis,1,4,Lousã Estação,18:48
